date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:01	31/31	---M--	200	added ('OK')	text/plain	date:Thu,%2024%20May%202018%2019:04:27%20GMT	http://demo.amytheme.com/robots.txt		(from )
21:59:07	133012/133012	---MC-	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2014:59:01%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/index.html	(from )
21:59:07	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2029%20Sep%202020%2014:59:06%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/xmlrpc.php	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/xmlrpc.0.delayed	(from http://demo.amytheme.com/movie/demo/multi-cinema/)
21:59:08	41045/41045	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Jun%202020%2023:03:24%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-includes/css/dist/block-library/style.min.css?ver=5.3.4	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-includes/css/dist/block-library/style.min03ec.css	(from http://demo.amytheme.com/movie/demo/multi-cinema/)
21:59:09	12795/12795	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202019%2004:29:59%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/plugins/amy-user/assets/css/vendor/jquery.fancybox.css?ver=5.3.4	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/plugins/amy-user/assets/css/vendor/jquery.fancybox03ec.css	(from http://demo.amytheme.com/movie/demo/multi-cinema/)
21:59:10	3420/3420	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202019%2004:29:59%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/plugins/amy-user/assets/css/style.css?ver=5.3.4	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/plugins/amy-user/assets/css/style03ec.css	(from http://demo.amytheme.com/movie/demo/multi-cinema/)
21:59:10	1645/1645	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202020%2013:28:20%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/plugins/contact-form-7/includes/css/stylesb62d.css	(from http://demo.amytheme.com/movie/demo/multi-cinema/)
21:59:10	784/784	---MC-	200	added ('OK')	application/rss+xml	etag:%224171762140c578ad45e998e59819992e%22	http://demo.amytheme.com/movie/demo/multi-cinema/comments/feed/	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/comments/feed/index.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/)
21:59:11	39750/39750	---M--	200	added ('OK')	text/css	date:Mon,%2004%20Mar%202019%2004:35:06%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/plugins/revslider/public/assets/css/settings23da.css	(from http://demo.amytheme.com/movie/demo/multi-cinema/)
21:59:14	37429/37429	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202020%2013:30:36%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/themes/amy-movie/css/vendor/font-awesome.css?ver=4.6.3	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/themes/amy-movie/css/vendor/font-awesome4698.css	(from http://demo.amytheme.com/movie/demo/multi-cinema/)
21:59:15	1846/1846	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202020%2013:30:36%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/themes/amy-movie/css/vendor/slick.css?ver=5.3.4	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/themes/amy-movie/css/vendor/slick03ec.css	(from http://demo.amytheme.com/movie/demo/multi-cinema/)
21:59:16	3401/3401	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202020%2013:30:36%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/themes/amy-movie/css/vendor/slick-theme.css?ver=5.3.4	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/themes/amy-movie/css/vendor/slick-theme03ec.css	(from http://demo.amytheme.com/movie/demo/multi-cinema/)
21:59:18	9918/9918	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202020%2013:30:36%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/themes/amy-movie/css/vendor/tooltipster.bundle.css?ver=1.0.0	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/themes/amy-movie/css/vendor/tooltipster.bundle8a54.css	(from http://demo.amytheme.com/movie/demo/multi-cinema/)
21:59:18	485158/485158	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202020%2013:29:34%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.1	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/plugins/js_composer/assets/css/js_composer.min9b2d.css	(from http://demo.amytheme.com/movie/demo/multi-cinema/)
